City,Station,Flow_TB_s,Distance,Cost_EUR
Bytom,Kielce,163.0,24.596747752497688,4009269.8836571234
Czestochowa,Kielce,200.0,19.1049731745428,3820994.6349085597
Czestochowa,Warsaw,78.0,32.64965543462902,2546673.1239010636
Katowice,Opole,61.10996872625168,14.212670403551895,868535.8438775792
Katowice,Kielce,200.0,24.413111231467404,4882622.2462934805
Katowice,Warsaw,1.8900312737483205,43.04648650006177,81359.20571010163
Konin,Kielce,36.0,37.20215047547655,1339277.4171171556
Konin,Warsaw,200.0,32.01562118716424,6403124.237432849
Poznań,Kielce,100.8175598621873,51.10772935672255,5152556.563841843
Poznań,Warsaw,150.1824401378127,46.09772228646444,6923068.41777646
Sieradz,Kielce,59.13575658972945,29.068883707497267,1719010.4312617108
Sieradz,Warsaw,118.86424341027055,29.732137494637012,3534088.0282701654
Sosnowiec,Kielce,143.0,22.20360331117452,3175115.2734979563
Wałbrzych,Opole,129.0,21.095023109728988,2721257.9811550393
Wodzisław Śląski,Kielce,119.0,33.015148038438355,3928802.616574164
Wrocław,Opole,133.0,15.264337522473747,2030156.8904890083
Zielona Góra,Opole,13.49003127374835,36.235341863986875,488815.8949601458
Zielona Góra,Kielce,52.24668354808326,61.68468205316454,3222820.062995819
Zielona Góra,Warsaw,55.263285178168395,61.204574992397426,3382365.8820134527
Łódź,Opole,63.39999999999998,27.65863337187866,1753557.3557771065
Łódź,Kielce,126.80000000000001,20.615528128088304,2614048.966641597
Łódź,Warsaw,126.80000000000001,16.55294535724685,2098913.4712989004
